,Player,Team,Initial 16 Star PB,Final 16 Star PB,Initial 70 Star PB,Final 70 Star PB,Initial 120 Star PB,Final 120 Star PB,Points
0,falconxfalcon,alaris,00:17:03,00:15:52,00:51:01,00:49:25,02:30:00,01:46:08,11799
1,nickless,badroenis,00:17:39,00:16:26,00:49:21,00:49:21,02:16:26,01:46:23,7721
2,tag609,pex,00:15:32,00:15:32,01:10:00,00:50:24,02:30:00,02:30:00,6282
3,saksdal,tabascoth,00:16:29,00:15:31,00:49:33,00:48:30,01:43:36,01:43:36,6219
4,tayyip,alaris,00:17:49,00:16:46,00:56:20,00:52:52,02:30:00,01:59:43,5638
5,nindiddeh,fcbdaboss,00:20:00,00:16:36,00:49:36,00:49:36,01:40:51,01:40:03,5064
6,xoofey,xoofey,00:16:27,00:15:33,00:47:23,00:47:23,01:43:32,01:43:32,3969
7,kally,tabascoth,00:15:53,00:15:40,00:49:05,00:48:15,01:42:30,01:41:46,3967
8,seiozi,tabascoth,00:19:56,00:17:36,00:56:27,00:52:41,01:59:42,01:59:42,3780
9,madware,alaris,00:17:52,00:16:41,00:56:50,00:54:01,02:14:33,02:06:00,3633
10,ringo792,ringo792,00:20:00,00:16:36,00:55:20,00:55:20,01:43:37,01:43:37,3510
11,partitionpenguin,raccoonbilly,00:18:46,00:17:13,01:02:26,00:55:38,02:30:00,02:30:00,3457
12,zeussm64,rubiksmeth,00:16:28,00:15:58,00:50:03,00:49:33,01:57:17,01:53:07,3386
13,chubby,benji64,00:17:05,00:15:55,00:49:09,00:49:09,01:42:53,01:42:53,3290
14,thomkar,thomkar,00:15:38,00:15:38,00:49:41,00:49:41,02:30:00,01:54:51,3267
15,tabascoth,tabascoth,00:15:54,00:15:54,00:49:29,00:48:29,01:42:52,01:41:41,3207
16,leysauce,bluehavengaming,00:17:18,00:16:40,00:49:59,00:49:35,01:47:47,01:44:49,3205
17,tracers_husband,bluehavengaming,00:16:50,00:16:05,00:49:50,00:49:29,01:46:40,01:45:33,3203
18,conner,felix_helix_tm,00:17:00,00:16:33,00:51:22,00:50:30,01:57:36,01:52:05,3052
19,egasyelir,alaris,00:16:44,00:16:16,00:50:39,00:50:39,01:52:22,01:48:35,3044
20,reallybadforyou,felix_helix_tm,00:17:00,00:16:41,00:55:07,00:52:44,02:30:00,02:13:13,2977
21,amahumahaba,mrspeedrun,00:17:29,00:16:52,00:55:21,00:54:11,02:22:06,02:02:55,2895
22,joshua_iz_drunk,xoofey,00:15:48,00:15:48,00:57:55,00:51:53,02:04:42,02:04:42,2877
23,raccoonbilly,raccoonbilly,00:18:01,00:17:16,00:53:20,00:53:15,02:12:39,01:57:04,2820
24,twitchname,widdit,00:16:46,00:15:59,00:50:38,00:50:14,01:49:05,01:49:05,2739
25,lucinovic,badroenis,00:17:52,00:16:46,00:52:17,00:51:35,01:50:28,01:48:49,2632
26,dentoriousred,raccoonbilly,00:17:44,00:17:30,01:10:00,00:56:44,02:30:00,02:30:00,2566
27,riandicielo,xoofey,00:17:06,00:16:22,00:49:41,00:49:37,01:49:26,01:47:42,2486
28,oatslice,pex,00:16:39,00:16:39,00:57:03,00:52:20,02:30:00,02:30:00,2372
